ID,date,primary_type,arrest,domestic,district,x,y
20890,2017-10-29 18:40:00,ASSAULT,false,true,015,65.5905566035792,95.1435637237434
20891,2017-10-29 18:42:00,BATTERY,false,true,003,65.7304938864431,95.2548883890823
20892,2017-10-29 18:43:00,THEFT,false,false,012,65.6603243632334,95.1247692866757
20893,2017-10-29 18:45:00,OTHER OFFENSE,false,false,004,65.7392275198666,95.2639747865235
20894,2017-10-29 18:45:00,CRIMINAL DAMAGE,false,false,009,65.6455928901646,95.2083463911492
20895,2017-10-29 18:45:00,THEFT,false,false,004,65.7428307810226,95.2741491221904
20896,2017-10-29 18:45:00,THEFT,false,false,014,65.6574543756774,95.122295362876
20897,2017-10-29 18:45:00,BURGLARY,false,false,014,65.6363696233189,95.0962003273435
20898,2017-10-29 18:50:00,THEFT,false,false,018,65.6936634935491,95.13421509337
20899,2017-10-29 18:50:00,THEFT,false,false,010,65.6246311628728,95.161223229797
