ID,date,primary_type,arrest,domestic,district,x,y
61000,2017-12-26 17:30:00,BATTERY,false,false,005,65.6858851312369,95.3372182510428
61001,2017-12-26 17:30:00,BURGLARY,false,false,014,65.6544516357659,95.1197286752617
61002,2017-12-26 17:30:00,THEFT,true,false,001,65.6868432283037,95.1429373000381
61003,2017-12-26 17:30:00,THEFT,false,false,025,65.5964465719356,95.1180891233134
61004,2017-12-26 17:42:00,BATTERY,false,false,022,65.6762262875022,95.3122622430604
61005,2017-12-26 17:45:00,NARCOTICS,true,false,010,65.6299191187847,95.1653414671651
61006,2017-12-26 17:45:00,ROBBERY,false,false,011,65.6271628279399,95.1584167363776
61007,2017-12-26 17:45:00,BATTERY,false,true,006,65.6580552218997,95.2674424857402
61008,2017-12-26 17:55:00,DECEPTIVE PRACTICE,false,false,001,65.6888219326596,95.1582724070178
61009,2017-12-26 18:00:00,BURGLARY,false,false,004,65.7468321534676,95.3646243541321
