ID,date,primary_type,arrest,domestic,district,x,y
12460,2017-10-18 13:15:00,THEFT,false,false,008,65.6067454306037,95.2337618601412
12461,2017-10-18 13:20:00,BATTERY,false,true,025,65.6113179966488,95.1212857218319
12462,2017-10-18 13:22:00,THEFT,false,false,001,65.6892273491929,95.1404092038657
12463,2017-10-18 13:30:00,BATTERY,false,false,004,65.717742626708,95.2680655583479
12464,2017-10-18 13:30:00,CRIMINAL DAMAGE,false,false,005,65.7120251568406,95.3057066736627
12465,2017-10-18 13:30:00,DECEPTIVE PRACTICE,false,false,008,65.574116489088,95.2375857915579
12466,2017-10-18 13:30:00,ROBBERY,false,false,006,65.6754330224355,95.2736090767297
12467,2017-10-18 13:30:00,THEFT,false,false,025,65.5891937520235,95.1007628566476
12468,2017-10-18 13:30:00,OTHER OFFENSE,false,false,007,65.6628153086559,95.2461617398448
12469,2017-10-18 13:30:00,THEFT,false,false,016,65.4887373032984,95.0516465727115
