ID,date,primary_type,arrest,domestic,district,x,y
4510,2017-10-07 02:00:00,THEFT,false,false,024,65.6563905961217,95.0331153791216
4511,2017-10-07 02:00:00,ROBBERY,false,false,001,65.6879668044817,95.1565357737314
4512,2017-10-07 02:00:00,BATTERY,false,false,009,65.6764938978134,95.1941013981198
4513,2017-10-07 02:10:00,THEFT,false,false,016,65.6019372656252,95.0775160003273
4514,2017-10-07 02:11:00,MOTOR VEHICLE THEFT,false,false,011,65.6264590000286,95.127455717296
4515,2017-10-07 02:20:00,OTHER OFFENSE,false,true,006,65.7056224311508,95.2716778856507
4516,2017-10-07 02:23:00,NARCOTICS,true,false,004,65.7442652322228,95.2951958724449
4517,2017-10-07 02:25:00,CRIMINAL DAMAGE,true,false,019,65.6710727955904,95.0633053230055
4518,2017-10-07 02:28:00,CRIMINAL TRESPASS,true,false,002,65.6910884009265,95.1866909400434
4519,2017-10-07 02:30:00,THEFT,false,false,014,65.65223000021,95.1178183417516
