id,x,y,timestamp,severity,speed_limit,weather,road_state
55536,129.839272672484,85.6298174370962,1447773000,1,120,1,1
55537,131.03903592111,85.8436568270851,1448566200,1,120,0,0
55539,131.171476500104,85.8331935411672,1447708500,1,120,1,1
55540,131.14419970815,85.8414328085522,1448510640,1,120,0,1
55541,131.018440206421,85.8367672217447,1446834600,1,120,0,0
55542,131.11874475565,85.8004558601982,1447916700,1,0,0,0
55543,131.175656488981,85.7887248817946,1447481100,1,120,0,0
55544,131.155965047722,85.8110416065939,1448015700,2,90,0,0
55545,131.164254970026,85.8556298759652,1448088600,1,120,0,0
55546,131.192217855525,85.7476249128808,1447630800,1,120,0,0
55548,131.171774186198,85.8351852497803,1448470200,1,120,0,1
55549,131.172489492555,85.838104182106,1448214600,1,120,0,1
55550,131.149495516288,85.8405488290894,1447967700,1,120,0,1
55552,131.178114510261,85.8510712587245,1446339360,1,120,0,0
55553,131.163989960514,85.821640996709,1448559900,1,0,0,0
55554,131.154395578911,85.8146615054936,1448229900,1,120,0,1
55555,131.031261758096,85.8394954657995,1448000220,1,120,0,1
55556,131.179326122347,85.8538411806704,1448733600,1,120,0,1
55557,131.159481159407,85.8182121029604,1447668900,1,120,0,0
55559,131.180307161259,85.8566607217345,1448445420,1,120,0,1
55561,131.178114510261,85.8510712587245,1446333300,1,120,0,0
55562,131.174731763562,85.8521238406265,1447944000,1,120,1,1
55564,131.170858101878,85.8532027373421,1446575400,1,120,0,0
55565,131.082434516947,85.7824948048806,1447179300,1,120,0,0
55566,130.963593481135,85.8370771606431,1446574200,1,90,0,0
55567,131.07589439767,85.8141787527875,1448287500,1,0,0,0
55568,130.005268860434,85.6550798509091,1412002800,1,90,1,1
55569,131.202370837352,85.963651274043,1447392600,1,120,0,0
55570,129.97785701688,85.6001112106412,1409834400,1,0,7,5
55571,130.168212736383,85.6887917060037,1413797820,1,70,0,0
55572,131.174094744679,85.8418136187859,1448425800,1,120,0,1
55573,130.109635773237,85.6011274236701,1412628000,1,50,0,1
55574,130.038298502428,85.66240429524,1412091600,1,50,0,0
55575,130.061642923532,85.6707411866087,1413781080,1,50,0,0
55576,130.045979107011,85.6372508477161,1410158400,1,70,0,0
55578,130.126974038654,85.6003195306259,1414125960,1,50,0,0
55579,130.079663327439,85.7356507990058,1410241860,1,50,0,0
55580,131.185575064884,85.8979694162825,1448679000,1,90,1,1
55581,130.040802786212,85.6679429162724,1411627800,1,50,0,0
55582,129.92975829918,85.6877697168368,1409759040,1,30,0,0
55583,130.037093096757,85.6757084313708,1409725140,1,0,7,5
